day.frac,min.flux,mean.flux,max.flux
0.590277778,85.54963837,121.8489311,170.7879075
0.590972222,81.19263445,122.4609609,164.5637203
0.591666667,80.85850838,123.0721799,164.7647358
0.592361111,79.07650269,119.6216369,164.3832523
0.593055556,78.29687519,116.0484258,163.1040439
0.59375,83.03255533,112.5321744,176.5669914
0.594444444,79.07650269,109.0738401,126.7905482
0.595138889,78.40825055,105.6069013,123.7625904
0.595833333,75.46112104,103.5860336,120.411365
0.596527778,75.32580148,101.4218184,117.8956195
0.597222222,78.37684515,99.17566502,120.6317524
0.597916667,60.4203638,96.95264085,112.7005198
0.598611111,60.42629205,94.71580383,111.9011816
0.599305556,60.2781158,92.79565562,111.8524415
0.6,60.09309545,90.90821879,112.0778645
0.600694444,59.8873788,89.01149518,112.33375
0.601388889,45.46695868,87.0799077,112.6871157
0.602083333,46.60942938,85.164545,113.0222039
0.602777778,46.62934546,83.04121776,112.9673713
0.603472222,46.45985655,82.38394042,113.0770366
0.604166667,69.42137036,81.67220043,152.1605058
0.604861111,69.32574959,81.5597054,124.28726
0.605555556,69.25321595,81.47437171,124.4395728
0.60625,69.61882874,81.9045044,124.1349472
0.606944444,69.57789784,81.8563504,123.0687575
0.607638889,69.59205245,81.87300288,134.339906
0.608333333,69.55829345,81.83328641,116.6716191
0.609027778,69.50073638,81.76557221,116.9762447
0.609722222,70.64485689,83.11159634,117.3174254
0.610416667,72.35915875,85.12842206,118.0302494
0.611111111,74.11430648,87.19330174,133.5783419
0.611805556,75.85630297,89.24270938,119.5472851
0.6125,75.37416267,91.13686928,120.2905717
0.613194444,73.0706016,91.23109777,119.0659766
0.613888889,73.51246062,91.4477636,118.3653376
0.614583333,77.95397698,91.71056116,141.955547
0.615277778,59.39709118,91.97749005,117.0737249
0.615972222,60.78015731,92.1435767,116.4522886
0.616666667,59.43414088,94.28731349,118.286135
0.617361111,58.65416864,94.60795695,119.3279546
0.618055556,80.9881354,95.28015929,130.0751471
0.61875,81.53628609,95.92504246,121.3567614
0.619444444,82.11620117,96.60729549,123.7482105
0.620138889,82.58332419,97.15685199,123.3258187
0.620833333,81.97226194,97.60002981,124.0313745
0.621527778,83.34127397,98.04855761,124.9147888
0.622222222,78.07412448,98.5298664,125.8042957
0.622916667,78.96512733,98.98122128,126.5902298
0.623611111,79.18787804,98.96035934,126.9070405
0.624305556,77.59565811,99.6878154,127.4675517
0.625,85.29220493,100.3437705,180.1860645
0.625694444,85.82242049,100.9675535,142.7171111
0.626388889,86.37944937,101.6228816,143.630988
0.627083333,86.47523624,101.735572,141.0416701
0.627777778,85.1382721,100.1626731,139.8231675
0.628472222,83.7604942,98.54175788,153.9882596
0.629166667,82.9758576,97.618656,132.9690907
0.629861111,82.32308988,96.85069397,132.2075266
0.630555556,81.81071674,96.24790205,131.4215924
0.63125,81.28081313,95.62448604,131.8541608
0.631944444,80.77993916,95.03522254,149.8758135
0.632638889,74.85553262,94.44449364,132.5182447
0.633333333,74.71920328,93.98208135,132.8716105
0.634027778,72.68952992,91.14824675,130.714861
0.634722222,72.57989066,90.0539711,129.301398
0.635416667,75.28430073,88.56976557,156.4252647
0.636111111,54.90040197,87.16367296,126.437917
0.636805556,56.04367491,85.74021149,125.0183615
0.6375,70.56334277,86.61375303,125.5849652
0.638194444,70.39156143,87.63210876,125.8895909
0.638888889,74.70110364,88.69581515,135.1014701
0.639583333,65.45919476,89.83633675,126.675525
0.640277778,67.34381121,90.36186558,127.0837234
0.640972222,67.33901973,91.58341407,127.162926
0.641666667,67.76939697,93.04134048,127.4309966
0.642361111,69.41712499,94.41911752,127.6807896
0.643055556,63.78583838,95.85691837,127.9976003
0.64375,62.9200984,97.34963488,128.3022259
0.644444444,62.97965718,98.65240898,128.1864682
0.645138889,62.81406236,100.8994796,128.6251291
0.645833333,87.65257441,103.1206758,168.1533518
0.646527778,88.95816167,104.6566608,146.8935025
0.647222222,90.21837133,106.1392604,147.0255237
0.647916667,91.74668489,107.9372763,147.0602024
0.648611111,92.85992177,109.2469668,138.9092906
0.649305556,93.9000803,110.4706827,154.5780474
0.65,94.87998823,111.6235156,144.7380416
0.650694444,95.89291169,112.8151902,142.2224044
0.651388889,97.15692613,114.302266,141.1910332
0.652083333,97.93457795,115.8048794,142.6369828
0.652777778,98.21078883,117.3166215,162.1505977
0.653472222,95.89418143,118.077496,140.3812376
0.654166667,97.11931034,118.8416721,141.1928045
0.654861111,97.11931034,117.3518276,141.1366402
0.655555556,95.89418143,116.8052144,139.3503001
